Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom House,590000.0,2.0,1.0,,,,
3 Bedroom Townhouse,1495000.0,3.0,2.0,3.0,435.0,,
3 Bedroom House,1180000.0,3.0,3.0,2.0,137.0,,
3 Bedroom House,1563000.0,3.0,3.0,2.0,400.0,,
2.5 Bedroom Townhouse,1270000.0,25.0,2.0,6.0,413.0,,
2 Bedroom House,630000.0,2.0,1.0,1.0,150.0,,
4 Bedroom House,1550000.0,4.0,2.0,4.0,943.0,,
5 Bedroom House,1200000.0,5.0,5.0,5.0,2546.0,46 Fish Eagle Rd,
4 Bedroom House,950000.0,4.0,2.0,2.0,412.0,,
3 Bedroom Townhouse,870000.0,3.0,2.0,4.0,208.0,,
7 Bedroom House,4400000.0,7.0,7.0,,1447.0,,
6 Bedroom House,1380000.0,6.0,2.0,,484.0,,
2 Bedroom House,570000.0,2.0,1.0,1.0,,,
3 Bedroom Apartment,780000.0,3.0,1.0,2.0,87.0,,
3 Bedroom House,1400000.0,3.0,2.0,2.0,1000.0,,
2 Bedroom Apartment,420000.0,2.0,1.0,,,,
9 Bedroom House,1480000.0,9.0,8.0,6.0,885.0,,
2.5 Bedroom Townhouse,1270000.0,25.0,2.0,6.0,413.0,,
8 Bedroom House,1789000.0,8.0,6.0,2.0,420.0,,
3 Bedroom House,1260000.0,3.0,2.0,1.0,,,
4 Bedroom House,1460000.0,4.0,3.0,1.0,,,
2 Bedroom House,700000.0,2.0,1.0,1.0,,,
3 Bedroom House,1400000.0,3.0,1.0,2.0,884.0,,
3 Bedroom Townhouse,1200000.0,3.0,2.0,2.0,335.0,,
1 Bedroom House,1499000.0,1.0,1.0,2.0,200.0,,
3 Bedroom House,2525000.0,3.0,2.0,2.0,400.0,,
4 Bedroom House,3900000.0,4.0,4.0,2.0,567.0,,
3 Bedroom House,1600000.0,3.0,2.0,2.0,329.0,,
3 Bedroom House,1130000.0,3.0,2.0,4.0,787.0,,
3 Bedroom House,2525000.0,3.0,2.0,2.0,400.0,,
3 Bedroom House,1395000.0,3.0,2.0,6.0,1067.0,,
2 Bedroom House,860000.0,2.0,2.0,1.0,19759.0,,
2 Bedroom Townhouse,850000.0,2.0,1.0,1.0,174.0,,
3 Bedroom Townhouse,1450000.0,3.0,2.0,3.0,418.0,,
3 Bedroom House,3750000.0,3.0,25.0,4.0,1793.0,,
2 Bedroom Apartment,820000.0,2.0,25.0,1.0,,,
5 Bedroom House,1750000.0,5.0,2.0,1.0,550.0,,
4 Bedroom House,1150000.0,4.0,1.0,1.0,1291.0,,
4 Bedroom House,2380000.0,4.0,3.0,2.0,,,
4 Bedroom House,890000.0,4.0,3.0,1.0,930.0,,
5 Bedroom House,1750000.0,5.0,2.0,4.0,397.0,,
3 Bedroom Apartment,1370000.0,3.0,2.0,,,21 Pinehurst Drive,
3 Bedroom Apartment,1260000.0,3.0,4.0,,,21 Pinehurst Drive,
4 Bedroom House,2000000.0,4.0,3.0,7.0,1668.0,,
4 Bedroom House,3000000.0,4.0,2.0,1.0,999.0,,
6 Bedroom House,3675000.0,6.0,5.0,7.0,1966.0,,
4 Bedroom House,1870000.0,4.0,3.0,2.0,,,
4 Bedroom House,2600000.0,4.0,2.0,2.0,22.0,,
6 Bedroom House,,6.0,3.0,5.0,1144.0,,
4 Bedroom House,1550000.0,4.0,1.0,3.0,2855.0,,
2 Bedroom Apartment,595000.0,2.0,1.0,1.0,,,
4 Bedroom House,5730000.0,4.0,4.0,13.0,1080.0,,
3 Bedroom Townhouse,729000.0,3.0,1.0,1.0,60.0,,
Townhouse,600000.0,,,,,1537 Tom Lawrence Street,
3 Bedroom House,1100000.0,3.0,2.0,1.0,988.0,,
2 Bedroom House,600000.0,2.0,1.0,1.0,,,
4 Bedroom House,650000.0,4.0,1.0,1.0,,,
2 Bedroom House,170000.0,2.0,1.0,1.0,,,
3 Bedroom House,1800000.0,3.0,2.0,1.0,1543.0,,
3 Bedroom House,1050000.0,3.0,2.0,2.0,1429.0,,
3 Bedroom House,2420000.0,3.0,25.0,4.0,300.0,,
4 Bedroom House,5730000.0,4.0,4.0,13.0,1080.0,,
2 Bedroom Apartment,849000.0,2.0,1.0,1.0,,,
2 Bedroom Townhouse,795000.0,2.0,1.0,1.0,160.0,,
2 Bedroom Apartment,1045451.0,2.0,1.0,1.0,,,
2 Bedroom House,595000.0,2.0,1.0,1.0,300.0,"1 Townsend Estate, 16 Townsend Street",
3 Bedroom House,898500.0,3.0,2.0,2.0,,,
4 Bedroom House,4630000.0,4.0,45.0,4.0,816.0,,
3 Bedroom House,1170000.0,3.0,2.0,6.0,1219.0,27 Barberton,
3 Bedroom House,989000.0,3.0,1.0,10.0,13340.0,,
4 Bedroom House,1250000.0,4.0,2.0,2.0,1721.0,566 Piet Retief,
2 Bedroom Apartment,735000.0,2.0,1.0,,,18 Alie Van Bergen Street,
3 Bedroom House,989000.0,3.0,1.0,10.0,13340.0,,
3 Bedroom House,1720000.0,3.0,2.0,6.0,1075.0,,
2 Bedroom Apartment,725000.0,2.0,1.0,1.0,,,
2 Bedroom House,950000.0,2.0,1.0,2.0,425.0,,
5 Bedroom House,1100000.0,5.0,2.0,,1042.0,,
2 Bedroom House,695000.0,2.0,1.0,1.0,116.0,Kamagugu,
3 Bedroom House,1890000.0,3.0,2.0,5.0,1410.0,,
3 Bedroom House,2195000.0,3.0,2.0,4.0,1162.0,,
4 Bedroom House,1880000.0,4.0,,2.0,,,
3 Bedroom House,925000.0,3.0,2.0,1.0,395.0,,
9 Bedroom House,2630000.0,9.0,9.0,10.0,962.0,,
26 Bedroom House,13500000.0,26.0,28.0,6.0,4527.0,217 Blue Crane Drive,
3 Bedroom Townhouse,870000.0,3.0,2.0,5.0,,,
4 Bedroom House,2500000.0,4.0,3.0,6.0,490.0,,
3 Bedroom Townhouse,1100000.0,3.0,2.0,2.0,,,
3 Bedroom House,1925000.0,3.0,3.0,1.0,1360.0,,
4 Bedroom Townhouse,2300000.0,4.0,2.0,6.0,577.0,,
5 Bedroom House,2450000.0,5.0,4.0,4.0,450.0,,
2 Bedroom House,699000.0,2.0,1.0,2.0,315.0,,
3 Bedroom House,1400000.0,3.0,2.0,4.0,825.0,,
4 Bedroom House,2650000.0,4.0,2.0,2.0,833.0,,
5 Bedroom House,2450000.0,5.0,4.0,4.0,450.0,,
4 Bedroom House,3900000.0,4.0,4.0,2.0,319.0,,
4 Bedroom House,2500000.0,4.0,5.0,2.0,943.0,,
5 Bedroom House,1370000.0,5.0,3.0,2.0,1487.0,,
1 Bedroom Apartment,545000.0,1.0,1.0,1.0,,,
3 Bedroom Townhouse,3550000.0,3.0,2.0,2.0,300.0,,
5 Bedroom House,1370000.0,5.0,3.0,2.0,1487.0,,
4 Bedroom House,1780000.0,4.0,25.0,4.0,1180.0,,
