Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom Apartment,960000.0,2.0,15.0,1.0,,,
1 Bedroom House,430000.0,1.0,1.0,1.0,636.0,"45 Eden Gardens, 75 Gladys Mazibuko Road",
2 Bedroom Apartment,1195000.0,2.0,1.0,1.0,,800 Lee Barnes Boulevard Dolphin Coast Ballito,
2.5 Bedroom Apartment,550000.0,25.0,15.0,1.0,,,
3 Bedroom Apartment,915000.0,3.0,1.0,1.0,,28 New England Road,
5 Bedroom House,1350000.0,5.0,3.0,6.0,300.0,,
2 Bedroom Apartment,1950000.0,2.0,2.0,1.0,,6 Summit Row,
4 Bedroom Apartment,5900000.0,4.0,45.0,2.0,,,
4 Bedroom House,4495000.0,4.0,35.0,2.0,666.0,,
1 Bedroom Apartment,1999000.0,1.0,1.0,1.0,,,
8 Bedroom Apartment,2700000.0,8.0,4.0,15.0,,,
3 Bedroom House,11200000.0,3.0,35.0,4.0,,,
3 Bedroom Apartment,1195000.0,3.0,2.0,2.0,89.0,,
1 Bedroom Apartment,379000.0,1.0,1.0,,,,
1 Bedroom Apartment,975000.0,1.0,1.0,1.0,,,
3 Bedroom House,850000.0,3.0,1.0,1.0,262.0,,
3 Bedroom Townhouse,1450000.0,3.0,2.0,2.0,,,
Apartment,1800000.0,,1.0,1.0,,,
2 Bedroom House,515000.0,2.0,1.0,,264.0,,
3 Bedroom Apartment,520000.0,3.0,1.0,1.0,,,
1 Bedroom Apartment,470000.0,1.0,1.0,,34.0,,
2 Bedroom Apartment,2299000.0,2.0,2.0,,,North Beach Road,
1 Bedroom Apartment,640000.0,1.0,1.0,,,,
4 Bedroom House,1399000.0,4.0,3.0,4.0,,,
3 Bedroom House,999000.0,3.0,2.0,4.0,,,
1 Bedroom Apartment,865000.0,1.0,1.0,1.0,,,
1 Bedroom House,450000.0,1.0,1.0,4.0,228.0,,
3 Bedroom Apartment,520000.0,3.0,1.0,1.0,,,
1 Bedroom Townhouse,1895000.0,1.0,1.0,1.0,,,
Apartment,560000.0,,,,,,
1 Bedroom Apartment,900000.0,1.0,1.0,,,,
1 Bedroom Apartment,295000.0,1.0,1.0,,,,
1 Bedroom Apartment,1080000.0,1.0,1.0,1.0,,,
3 Bedroom Townhouse,4500000.0,3.0,3.0,3.0,9614.0,,
3 Bedroom House,3995000.0,3.0,3.0,8.0,609.0,,
1 Bedroom Apartment,850000.0,1.0,1.0,1.0,,,
2 Bedroom Apartment,2650000.0,2.0,2.0,2.0,,,
3 Bedroom Apartment,3600000.0,3.0,2.0,1.0,,,
3 Bedroom Apartment,1295000.0,3.0,2.0,1.0,,,
4 Bedroom House,1620000.0,4.0,25.0,6.0,747.0,Ivy Street,
3 Bedroom House,1250000.0,3.0,2.0,3.0,992.0,,
3 Bedroom Apartment,1699000.0,3.0,2.0,1.0,,,
2 Bedroom Apartment,695000.0,2.0,2.0,1.0,,"6 Westview, 468 King Cetshwayo Highway",
2 Bedroom Apartment,1695000.0,2.0,15.0,,,,
2 Bedroom Apartment,795000.0,2.0,1.0,1.0,,70 Sixth Avenue,
1 Bedroom Apartment,560000.0,1.0,2.0,1.0,,,
1 Bedroom Apartment,490000.0,1.0,1.0,2.0,,,
2 Bedroom Apartment,1800000.0,2.0,2.0,2.0,,,
2 Bedroom House,925000.0,2.0,1.0,2.0,471.0,90 Camper Drive,
4 Bedroom House,1500000.0,4.0,3.0,4.0,1029.0,,
4 Bedroom House,1620000.0,4.0,25.0,6.0,747.0,Ivy Street,
1.5 Bedroom Apartment,650000.0,15.0,1.0,1.0,,"24 Tremley, 15 Ebor Avenue",
2 Bedroom Apartment,1495000.0,2.0,2.0,1.0,,,
3 Bedroom Apartment,3070000.0,3.0,2.0,1.0,,,
3 Bedroom Apartment,1450000.0,3.0,2.0,2.0,,"7 Ss Whale Rock, 117 Marine Drive",
5 Bedroom House,3900000.0,5.0,3.0,12.0,1502.0,,
3 Bedroom Apartment,750000.0,3.0,1.0,1.0,,,
2 Bedroom Apartment,2850000.0,2.0,2.0,2.0,,,
2 Bedroom Apartment,1250000.0,2.0,1.0,,,,
Apartment,300000.0,,1.0,,,,
2 Bedroom Apartment,5500000.0,2.0,2.0,2.0,,,
2 Bedroom Apartment,2500000.0,2.0,2.0,2.0,,,
4 Bedroom House,16000000.0,4.0,45.0,2.0,900.0,,
3 Bedroom Apartment,4300000.0,3.0,2.0,4.0,,,
3 Bedroom Apartment,930000.0,3.0,2.0,1.0,,,
2 Bedroom Apartment,1054000.0,2.0,2.0,1.0,,,
3 Bedroom Apartment,1175000.0,3.0,2.0,1.0,,,
2 Bedroom Apartment,890000.0,2.0,2.0,1.0,,,
1 Bedroom Apartment,595000.0,1.0,1.0,1.0,,,
2 Bedroom Apartment,880000.0,2.0,1.0,1.0,,,
5 Bedroom House,2790000.0,5.0,35.0,3.0,1295.0,,
5 Bedroom House,2790000.0,5.0,35.0,3.0,1295.0,,
3 Bedroom House,980000.0,3.0,1.0,4.0,297.0,,
3 Bedroom House,1070000.0,3.0,2.0,2.0,381.0,,
3 Bedroom Apartment,1800000.0,3.0,2.0,1.0,,,
3 Bedroom Apartment,2950000.0,3.0,2.0,2.0,,,
2 Bedroom House,480000.0,2.0,1.0,,482.0,,
1 Bedroom Apartment,590000.0,1.0,1.0,1.0,,,
1 Bedroom Apartment,795000.0,1.0,1.0,1.0,,,
3 Bedroom House,1780000.0,3.0,2.0,3.0,689.0,,
6 Bedroom House,2485000.0,6.0,6.0,2.0,2019.0,,
1 Bedroom House,290000.0,1.0,,4.0,375.0,,
2 Bedroom Apartment,3708532.0,2.0,2.0,2.0,,,
1 Bedroom Apartment,590000.0,1.0,1.0,1.0,,,
4 Bedroom House,4250000.0,4.0,3.0,4.0,202.0,,
5 Bedroom House,2990000.0,5.0,45.0,1.0,1130.0,,
5 Bedroom House,12500000.0,5.0,55.0,8.0,1798.0,,
2 Bedroom Apartment,899000.0,2.0,2.0,1.0,,,
2.5 Bedroom Townhouse,1100000.0,25.0,1.0,,,,
4 Bedroom House,1150000.0,4.0,2.0,1.0,,,
4 Bedroom House,990000.0,4.0,3.0,2.0,1423.0,,
2 Bedroom Apartment,1600000.0,2.0,2.0,2.0,,,
1 Bedroom Apartment,1275000.0,1.0,1.0,2.0,,,
3 Bedroom House,980000.0,3.0,2.0,,200.0,,
3 Bedroom Apartment,2350000.0,3.0,2.0,2.0,,,
3 Bedroom House,3300000.0,3.0,2.0,2.0,,,
5 Bedroom House,1699999.0,5.0,35.0,6.0,2023.0,,
3 Bedroom House,1600000.0,3.0,2.0,4.0,1085.0,,
1 Bedroom Townhouse,270000.0,1.0,1.0,,,263 Musgrave Road,
3 Bedroom House,2999000.0,3.0,2.0,12.0,11735.0,27 Nicolls Walk,
9 Bedroom House,4150000.0,9.0,8.0,12.0,3215.0,,
Apartment,475000.0,,1.0,,,,
3 Bedroom House,1550000.0,3.0,1.0,2.0,1611.0,,
4 Bedroom House,2940000.0,4.0,3.0,,,,
4 Bedroom House,1195000.0,4.0,2.0,4.0,218.0,,
2 Bedroom Apartment,1350000.0,2.0,1.0,1.0,,84 Somtseu Road,
3 Bedroom Townhouse,1150000.0,3.0,2.0,2.0,,,
