Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom House,1190000.0,3.0,1.0,2.0,1640.0,,
6 Bedroom House,2650000.0,6.0,5.0,7.0,922.0,,
2 Bedroom Townhouse,1350000.0,2.0,25.0,2.0,5712.0,,
3 Bedroom House,1190000.0,3.0,1.0,2.0,1640.0,,
3 Bedroom House,1320000.0,3.0,2.0,2.0,604.0,,
4 Bedroom House,1090000.0,4.0,2.0,5.0,1230.0,,
2 Bedroom Apartment,795000.0,2.0,2.0,2.0,,,
2 Bedroom House,1590000.0,2.0,2.0,5.0,770.0,,
2 Bedroom House,2350000.0,2.0,2.0,3.0,205.0,29 Owl Road,
4 Bedroom House,680000.0,4.0,4.0,2.0,,,
3 Bedroom House,755000.0,3.0,2.0,1.0,374.0,,
2 Bedroom Apartment,935000.0,2.0,1.0,,,,
2 Bedroom House,1890000.0,2.0,2.0,2.0,,,
4 Bedroom House,2300000.0,4.0,2.0,12.0,1479.0,10 Cheetah Street,
3 Bedroom House,950000.0,3.0,1.0,4.0,962.0,,
6 Bedroom House,2200000.0,6.0,4.0,6.0,1468.0,,
3 Bedroom House,500000.0,3.0,1.0,1.0,650.0,,
3 Bedroom House,2150000.0,3.0,2.0,1.0,2260.0,,
2 Bedroom Apartment,750000.0,2.0,2.0,,,,
2 Bedroom Apartment,1200000.0,2.0,1.0,1.0,,,
2 Bedroom House,1600000.0,2.0,2.0,2.0,698.0,,
3 Bedroom Townhouse,2600000.0,3.0,2.0,3.0,300.0,38 Rissik Street,
3 Bedroom House,550000.0,3.0,1.0,2.0,1500.0,,
3 Bedroom Townhouse,2600000.0,3.0,2.0,3.0,300.0,38 Rissik Street,
3 Bedroom House,550000.0,3.0,1.0,2.0,650.0,,
3 Bedroom House,1750000.0,3.0,2.0,2.0,,,
3 Bedroom House,2000000.0,3.0,25.0,2.0,500.0,,
3 Bedroom House,1420000.0,3.0,2.0,1.0,108.0,,
3 Bedroom House,2080000.0,3.0,2.0,5.0,1003.0,,
4 Bedroom House,3500000.0,4.0,4.0,1.0,2500.0,,
3 Bedroom House,2376000.0,3.0,2.0,2.0,,,
2 Bedroom Townhouse,1200000.0,2.0,2.0,1.0,,6 Ankole Village 168 Bendor Drive,
5 Bedroom House,2250000.0,5.0,2.0,2.0,690.0,,
3 Bedroom House,985000.0,3.0,2.0,,336.0,,
3 Bedroom House,2520000.0,3.0,2.0,2.0,,,
4 Bedroom House,2990000.0,4.0,5.0,4.0,1650.0,,
3 Bedroom House,900000.0,3.0,1.0,3.0,414.0,,
3 Bedroom House,1300000.0,3.0,1.0,2.0,895.0,,
3 Bedroom House,1730000.0,3.0,2.0,4.0,419.0,,
3 Bedroom House,1170000.0,3.0,2.0,6.0,1585.0,,
14 Bedroom Apartment,,14.0,8.0,8.0,,,
3 Bedroom Apartment,2750000.0,3.0,2.0,3.0,,,
