Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom House,900000.0,3.0,1.0,5.0,238.0,,
21 Bedroom Apartment,5000000.0,21.0,10.0,10.0,4267.0,". ., 40-44 Park Road",
2 Bedroom Apartment,895000.0,2.0,1.0,1.0,,,
3 Bedroom House,980000.0,3.0,3.0,1.0,,,
3 Bedroom House,3750000.0,3.0,,2.0,851.0,,
3 Bedroom Apartment,1200000.0,3.0,2.0,2.0,,,
2 Bedroom House,1295000.0,2.0,1.0,1.0,274.0,,
9 Bedroom House,8495000.0,9.0,9.0,10.0,1983.0,,
2 Bedroom Apartment,865000.0,2.0,1.0,,,13 The Block 32 King Edward Street,
3 Bedroom House,1199000.0,3.0,2.0,,280.0,,
4 Bedroom House,2300000.0,4.0,1.0,6.0,,,
3 Bedroom House,2590000.0,3.0,2.0,6.0,1330.0,7 Chute Crescent,
3 Bedroom House,695000.0,3.0,1.0,,,,
2 Bedroom Apartment,520000.0,2.0,2.0,,,,
3 Bedroom House,585000.0,3.0,1.0,,,,
2 Bedroom House,290000.0,2.0,1.0,5.0,290.0,,
3 Bedroom House,350000.0,3.0,1.0,1.0,329.0,,
4 Bedroom House,2295000.0,4.0,2.0,6.0,1011.0,,
4 Bedroom House,825000.0,4.0,2.0,1.0,,,
2 Bedroom Apartment,760000.0,2.0,1.0,,,,
3 Bedroom House,695000.0,3.0,1.0,,,,
8 Bedroom House,12000000.0,8.0,8.0,12.0,1071.0,,
3 Bedroom House,1790000.0,3.0,2.0,2.0,852.0,,
3 Bedroom House,3699000.0,3.0,2.0,4.0,549.0,,
4 Bedroom House,2695000.0,4.0,3.0,3.0,1749.0,,
4 Bedroom Apartment,4300000.0,4.0,3.0,2.0,,,
1 Bedroom Townhouse,1249000.0,1.0,1.0,1.0,5887.0,,
5 Bedroom House,5250000.0,5.0,4.0,4.0,820.0,149 Bluewater Drive,
12 Bedroom House,4650000.0,12.0,9.0,8.0,724.0,,
11 Bedroom House,5000000.0,11.0,13.0,7.0,1339.0,92 Berry Street,
14 Bedroom House,5200000.0,14.0,5.0,,,,
5 Bedroom House,575000.0,5.0,2.0,3.0,325.0,,
7 Bedroom House,9500000.0,7.0,4.0,4.0,724.0,,
3 Bedroom House,3999000.0,3.0,25.0,4.0,439.0,,
3 Bedroom Townhouse,1200000.0,3.0,2.0,2.0,200.0,,
3 Bedroom House,1395000.0,3.0,2.0,6.0,320.0,,
3 Bedroom House,1395000.0,3.0,2.0,2.0,858.0,,
2 Bedroom House,580000.0,2.0,1.0,1.0,190.0,,
5 Bedroom House,,5.0,3.0,15.0,5600.0,,
3 Bedroom House,1050000.0,3.0,2.0,6.0,588.0,,
2 Bedroom House,950000.0,2.0,1.0,2.0,426.0,,
3 Bedroom House,1600000.0,3.0,1.0,2.0,1192.0,53 Main St,
2 Bedroom Apartment,995980.0,2.0,1.0,2.0,,,
House,300000.0,,,,537.0,7 Behrens Steet,
10 Bedroom House,6300000.0,10.0,10.0,8.0,1222.0,3 Cypress Street,
3 Bedroom House,1395000.0,3.0,2.0,2.0,858.0,,
2 Bedroom House,920000.0,2.0,2.0,2.0,278.0,26 Agapanthus Road,
3 Bedroom Townhouse,2486000.0,3.0,2.0,4.0,440.0,,
4 Bedroom House,2500000.0,4.0,2.0,,738.0,,
9 Bedroom House,2590000.0,9.0,4.0,6.0,607.0,,
5 Bedroom House,1500000.0,5.0,2.0,3.0,,,
2 Bedroom Apartment,550000.0,2.0,1.0,,,,
2 Bedroom House,550000.0,2.0,2.0,1.0,300.0,,
3 Bedroom Apartment,379000.0,3.0,1.0,1.0,,,
6 Bedroom House,650000.0,6.0,1.0,1.0,300.0,,
1 Bedroom Apartment,480000.0,1.0,1.0,,2028.0,,
4 Bedroom House,850000.0,4.0,2.0,2.0,384.0,,
2 Bedroom House,250000.0,2.0,,,330.0,,
2 Bedroom Apartment,695000.0,2.0,2.0,1.0,,,
9 Bedroom House,2590000.0,9.0,4.0,6.0,607.0,,
2 Bedroom House,750000.0,2.0,1.0,2.0,169.0,,
2 Bedroom Townhouse,550000.0,2.0,1.0,,94.0,,
2 Bedroom House,695000.0,2.0,1.0,,,,
3 Bedroom House,1050000.0,3.0,2.0,2.0,,,
7 Bedroom House,290000.0,7.0,1.0,,,,
2 Bedroom House,249000.0,2.0,1.0,2.0,,,
3 Bedroom House,490000.0,3.0,1.0,1.0,,,
4 Bedroom House,1000000.0,4.0,3.0,6.0,,,
4 Bedroom House,6342500.0,4.0,3.0,3.0,547.0,,
3 Bedroom House,1595000.0,3.0,2.0,2.0,685.0,20 Baillie Road,
